	name	encoding
0		[-0.1371544450521469, 0.1270519644021988, 0.06883056461811066, -0.018840191885828972, -0.024197950959205627, 0.003264111001044512, 0.009397072717547417, -0.03299688175320625, 0.23470686376094818, -0.05574631690979004, 0.2648853659629822, 0.02202100306749344, -0.22462211549282074, -0.05283718556165695, 0.010419041849672794, 0.0851965919137001, -0.20197200775146484, -0.0018984144553542137, -0.07567384839057922, -0.07230303436517715, 0.059408724308013916, 0.05699394643306732, 0.07154225558042526, 0.04994308948516846, -0.14717328548431396, -0.38187041878700256, -0.06842856854200363, -0.07223112881183624, 0.06971892714500427, -0.04109255224466324, -0.014059900306165218, -0.005682611837983131, -0.23644432425498962, -0.07798050343990326, -0.0521121472120285, 0.0009990539401769638, -0.004235658794641495, -0.06752248853445053, 0.1684662103652954, 0.015350126661360264, -0.11356677114963531, -0.014354879036545753, -0.044838204979896545, 0.26391279697418213, 0.16190782189369202, 0.01397567056119442, -0.005367754027247429, -0.022268056869506836, 0.06589005142450333, -0.24053330719470978, 0.05921768397092819, 0.12808509171009064, 0.041341375559568405, 0.008724709041416645, 0.07873375713825226, -0.1335202157497406, -0.026788897812366486, 0.15713049471378326, -0.1983635574579239, 0.04866049438714981, 0.014646422117948532, -0.02085835300385952, 0.04842240735888481, -0.04555024579167366, 0.1832326054573059, 0.12504927814006805, -0.08894018083810806, -0.12219264358282089, 0.06233641877770424, -0.1187836229801178, 0.05837857350707054, 0.060178160667419434, -0.09858038276433945, -0.23309174180030823, -0.2795790433883667, 0.11692686378955841, 0.39776307344436646, 0.18749915063381195, -0.15414851903915405, -0.009055200032889843, -0.1421944946050644, -0.04910030961036682, 0.13764692842960358, 0.0012610795674845576, -0.06634446233510971, -0.028245864436030388, -0.11451803147792816, 0.07149067521095276, 0.17111574113368988, 0.045087020844221115, -0.1037137508392334, 0.2673296332359314, -0.03533275052905083, -0.026301078498363495, 0.004016830585896969, -0.00816325843334198, -0.13055525720119476, 0.037339720875024796, -0.10625262558460236, 0.035061001777648926, 0.032196614891290665, -0.07649300992488861, 0.0038197729736566544, 0.09098188579082489, -0.18667957186698914, 0.09479863196611404, 0.020325232297182083, -0.037629470229148865, 0.021442972123622894, 0.013141797855496407, -0.19323715567588806, -0.029527414590120316, 0.14999772608280182, -0.2685280740261078, 0.22668638825416565, 0.13728851079940796, 0.030602920800447464, 0.21881136298179626, 0.04576664790511131, 0.04308068007230759, -0.012224918231368065, 0.011080225929617882, -0.08196449279785156, -0.03957490250468254, 0.0756988674402237, -0.03289284184575081, 0.14272259175777435, 0.00012468593195080757]
1		[-0.13739652931690216, 0.1424938142299652, 0.045157045125961304, -0.05715563893318176, -0.020040316507220268, -0.013673304580152035, -0.013007036410272121, -0.025384539738297462, 0.2538636326789856, -0.0965423434972763, 0.28524425625801086, 0.029496362432837486, -0.17723461985588074, -0.10492972284555435, 0.0037725362926721573, 0.1343529224395752, -0.21456244587898254, 0.00013027526438236237, -0.07292991131544113, -0.0968872606754303, 0.03467967361211777, 0.0340152233839035, 0.05872349813580513, 0.07686398178339005, -0.12285280227661133, -0.3586302399635315, -0.06645810604095459, -0.10811612755060196, 0.012342246249318123, -0.06460928171873093, -0.035092804580926895, -0.013221480883657932, -0.20413468778133392, -0.09595261514186859, -0.04913952946662903, 0.022850072011351585, -0.015525883063673973, -0.0015875347889959812, 0.1453143060207367, 0.003652621991932392, -0.09036212414503098, 0.015701087191700935, -0.021006127819418907, 0.293162077665329, 0.16889777779579163, 0.022949164733290672, 0.010571430437266827, -0.030174165964126587, 0.11738482117652893, -0.2427186518907547, 0.07535360008478165, 0.10279396176338196, 0.03981854021549225, 0.027213040739297867, 0.0569881908595562, -0.0821482241153717, -0.04439349099993706, 0.1579325944185257, -0.1518034040927887, 0.05962035804986954, 0.04431619495153427, -0.032762639224529266, -0.051204144954681396, -0.0378720723092556, 0.18881429731845856, 0.15698836743831635, -0.11749134212732315, -0.13650943338871002, 0.04346124455332756, -0.12229543924331665, 0.014529561623930931, 0.051848314702510834, -0.11426940560340881, -0.2110901176929474, -0.27668502926826477, 0.1094464510679245, 0.39686551690101624, 0.16643929481506348, -0.14310790598392487, -0.02161688730120659, -0.14786849915981293, -0.022466646507382393, 0.12321024388074875, 0.025020597502589226, -0.035658854991197586, -0.015263767912983894, -0.08822886645793915, 0.10112297534942627, 0.15976360440254211, 0.0055205803364515305, -0.07949941605329514, 0.2487458884716034, -0.01467584352940321, 0.02189045399427414, -0.038073521107435226, 0.007731145713478327, -0.08984497934579849, 0.03010084666311741, -0.1208384782075882, 0.033221080899238586, 0.047579482197761536, -0.040559545159339905, -0.02022343873977661, 0.03493259474635124, -0.19847969710826874, 0.13620878756046295, 0.0372832790017128, 0.002519872970879078, 0.02752184495329857, 0.03863232582807541, -0.15882465243339539, -0.027842113748192787, 0.1461809277534485, -0.22289517521858215, 0.22426186501979828, 0.16341927647590637, 0.05059744417667389, 0.1977790892124176, 0.04627333581447601, 0.0270245224237442, -0.004019405692815781, -0.025855552405118942, -0.09588707238435745, -0.03419126570224762, 0.06372489780187607, -0.008135555312037468, 0.12480718642473221, -0.014234665781259537]
2		[-0.11938030272722244, 0.13147267699241638, 0.04915395379066467, -0.046146806329488754, -0.022152040153741837, 0.022143583744764328, -0.017118394374847412, -0.019900711253285408, 0.2595736086368561, -0.08017700165510178, 0.2581739127635956, 0.05967092514038086, -0.17239606380462646, -0.0964001789689064, 0.010911226272583008, 0.10645388811826706, -0.19784776866436005, -0.02882014960050583, -0.07243771106004715, -0.1000998318195343, 0.06127562373876572, 0.06771091371774673, 0.02827155403792858, 0.07864641398191452, -0.13298726081848145, -0.3769199848175049, -0.050697918981313705, -0.09260629862546921, 0.01364559680223465, -0.0565107986330986, -0.03861548751592636, -0.011119881644845009, -0.2141135185956955, -0.10230538249015808, -0.03966331481933594, 0.01698353886604309, -0.0019402089528739452, -0.01798122748732567, 0.14108523726463318, 0.04178311303257942, -0.08648987859487534, 0.025206414982676506, -0.018676767125725746, 0.3059535622596741, 0.18750296533107758, 0.03884395956993103, -0.0028170738369226456, -0.0028813276439905167, 0.12167243659496307, -0.26944786310195923, 0.06444837898015976, 0.1296379119157791, 0.0498943030834198, 0.021859243512153625, 0.08488117158412933, -0.10873077809810638, -0.0664670318365097, 0.13526035845279694, -0.15846408903598785, 0.057709045708179474, 0.0040104081854224205, -0.03513165935873985, -0.016262400895357132, -0.06184372678399086, 0.1696913242340088, 0.14862093329429626, -0.0919073149561882, -0.12562325596809387, 0.014835769310593605, -0.11728958040475845, 0.013674489222466946, 0.03155369311571121, -0.12016117572784424, -0.2096182107925415, -0.25593870878219604, 0.12358491867780685, 0.40235698223114014, 0.18259850144386292, -0.16209866106510162, -0.007043276913464069, -0.13928194344043732, -0.010966993868350983, 0.14566107094287872, -0.011243782006204128, -0.013002785854041576, -0.03148021921515465, -0.08988587558269501, 0.08956365287303925, 0.15706412494182587, 0.017323173582553864, -0.07483427971601486, 0.24892599880695343, -0.03729421645402908, 0.004882552661001682, -0.01982339657843113, 0.00928934570401907, -0.11330417543649673, 0.06369118392467499, -0.11710213124752045, 0.02879965491592884, 0.03843376785516739, -0.02071516588330269, 0.02790355682373047, 0.03393121808767319, -0.19461709260940552, 0.10230627655982971, 0.027206439524888992, -0.0018152114935219288, 0.03772149980068207, 0.03557657077908516, -0.18706963956356049, -0.03909752890467644, 0.13961462676525116, -0.2318020910024643, 0.22404441237449646, 0.14933493733406067, -0.00290261534973979, 0.22024261951446533, 0.03913163021206856, 0.04036600887775421, -0.012642277404665947, -0.009944140911102295, -0.07332674413919449, -0.044486112892627716, 0.06318417936563492, 0.015285152941942215, 0.11296980828046799, -0.02458415925502777]
3		[-0.12187302857637405, 0.15705469250679016, 0.05800684168934822, -0.0470275804400444, -0.03580007329583168, 0.014368786476552486, -0.022005660459399223, -0.01959693245589733, 0.22501039505004883, -0.05674853175878525, 0.24587035179138184, 0.025587068870663643, -0.1850290596485138, -0.06084068864583969, -0.015144146978855133, 0.10964121669530869, -0.21504807472229004, 0.005897006019949913, -0.11226816475391388, -0.0948895588517189, 0.011991426348686218, 0.05256372690200806, 0.06480912119150162, 0.06376613676548004, -0.11584600061178207, -0.34769853949546814, -0.04119337722659111, -0.08606067299842834, 0.04037727415561676, -0.0436907634139061, 0.0016480376943945885, -0.011414754204452038, -0.2155224233865738, -0.08690278232097626, -0.058829765766859055, -0.022987132892012596, -0.01827961578965187, -0.03399015590548515, 0.15596550703048706, -0.0011817486956715584, -0.09250441193580627, 0.008890627883374691, -0.030278297141194344, 0.27397793531417847, 0.1772570013999939, 0.02376454509794712, 0.0022824108600616455, -0.04273008555173874, 0.1174531877040863, -0.23799197375774384, 0.08278781175613403, 0.1253664195537567, 0.0500183030962944, 0.011328475549817085, 0.07724133133888245, -0.10127107053995132, -0.027826007455587387, 0.17219902575016022, -0.1731303483247757, 0.057531196624040604, 0.018175344914197922, 0.022597523406147957, 0.0147122573107481, -0.04513541981577873, 0.1828526258468628, 0.14701609313488007, -0.10957016795873642, -0.13453923165798187, 0.042073603719472885, -0.09888046979904175, 0.036141734570264816, 0.054399337619543076, -0.1018085703253746, -0.21700923144817352, -0.29889583587646484, 0.11416986584663391, 0.39424198865890503, 0.17106938362121582, -0.15467706322669983, -0.04052326828241348, -0.14280842244625092, -0.04756522551178932, 0.13373661041259766, 0.012176742777228355, -0.09188100695610046, -0.06376777589321136, -0.08389698714017868, 0.0812271237373352, 0.15307988226413727, 0.03237944096326828, -0.12915584444999695, 0.24858105182647705, -0.013105461373925209, -0.029166042804718018, -0.03889724612236023, 0.020690305158495903, -0.12766332924365997, 0.05425231158733368, -0.11970820277929306, 0.04276750236749649, 0.05368141457438469, -0.020756101235747337, -0.008253713138401508, 0.07210314273834229, -0.1597500443458557, 0.11015139520168304, 0.02821488119661808, 0.0007243696600198746, 0.023774325847625732, 0.027438824996352196, -0.20193219184875488, -0.038621168583631516, 0.16001246869564056, -0.22058811783790588, 0.2140207588672638, 0.12063051015138626, 0.03773011639714241, 0.18733534216880798, 0.07911113649606705, 0.029268428683280945, 0.00812356173992157, 0.004397474229335785, -0.07428295910358429, -0.03404346853494644, 0.09678982943296432, -0.020226798951625824, 0.13898073136806488, 0.006277419161051512]
4		[-0.17051517963409424, 0.128795325756073, 0.06827467679977417, -0.03718648478388786, 0.016977714374661446, -0.014320261776447296, -0.015303142368793488, -0.03375866636633873, 0.2128312885761261, -0.04887218028306961, 0.28394603729248047, 0.010984811000525951, -0.19626426696777344, -0.09113720059394836, 0.008851994760334492, 0.10745449364185333, -0.2188607007265091, 0.0010752016678452492, -0.10924828052520752, -0.12286099046468735, 0.036559320986270905, 0.07197093963623047, 0.05389188602566719, 0.06352631002664566, -0.1400817483663559, -0.3716607093811035, -0.050074346363544464, -0.10030990839004517, 0.03172348439693451, -0.04534731060266495, 0.03369816020131111, -0.01293709222227335, -0.2306751012802124, -0.07401140034198761, -0.06683829426765442, -0.004871165379881859, -0.004971173591911793, -0.042330823838710785, 0.1495642215013504, 0.00035253819078207016, -0.08936167508363724, -0.015013678930699825, -0.017071878537535667, 0.2803700864315033, 0.1813352406024933, 0.019817013293504715, -0.01663673296570778, -0.014306837692856789, 0.07692573964595795, -0.25931307673454285, 0.054251860827207565, 0.12723703682422638, 0.054752472788095474, 0.015237545594573021, 0.072990283370018, -0.10189415514469147, -0.02744423970580101, 0.1417946070432663, -0.19083958864212036, 0.035045068711042404, 0.003795154392719269, -0.0041999612003564835, -0.00878756120800972, -0.0320778414607048, 0.19080716371536255, 0.14345663785934448, -0.12151676416397095, -0.10307222604751587, 0.055565088987350464, -0.10298240184783936, 0.038055308163166046, 0.05907783657312393, -0.10960233956575394, -0.2403193861246109, -0.3112936019897461, 0.12718740105628967, 0.3953874111175537, 0.1509895622730255, -0.1620078682899475, -0.007662794552743435, -0.14683225750923157, -0.01951782777905464, 0.13046124577522278, -0.002229153411462903, -0.07975953072309494, -0.049685999751091, -0.08625462651252747, 0.08995405584573746, 0.1408853381872177, 0.045159779489040375, -0.12353049963712692, 0.255708247423172, -0.028715208172798157, -0.031222715973854065, -0.011495749466121197, 0.01962411403656006, -0.09048576653003693, 0.02903299778699875, -0.10563882440328598, 0.0435047373175621, 0.07529968023300171, -0.02157718315720558, -0.0007251850329339504, 0.06302295625209808, -0.171953946352005, 0.12178898602724075, 0.05436887592077255, -0.015360219404101372, 0.045428693294525146, 0.029831338673830032, -0.1868177354335785, -0.03702384978532791, 0.15455548465251923, -0.24410301446914673, 0.21526308357715607, 0.1435006558895111, 0.023949066177010536, 0.21781288087368011, 0.06000787764787674, 0.03820063918828964, -0.020671099424362183, 0.011006256565451622, -0.0892714187502861, -0.0363546721637249, 0.08307474106550217, -0.012002977542579174, 0.1279173493385315, 0.0018738852813839912]
5		[-0.17017988860607147, 0.13544978201389313, 0.06976388394832611, -0.01689598523080349, -0.0038788120727986097, 0.003341741394251585, -0.0009197313338518143, -0.025668591260910034, 0.22130316495895386, -0.06636560708284378, 0.28144383430480957, 0.013233617879450321, -0.19757281243801117, -0.0995739996433258, 0.012704641558229923, 0.09489021450281143, -0.228153795003891, -0.015436531975865364, -0.09877479821443558, -0.12990884482860565, 0.028330974280834198, 0.09630370885133743, 0.06228368729352951, 0.04868869483470917, -0.15197913348674774, -0.38913917541503906, -0.062191225588321686, -0.09782225638628006, 0.07164420932531357, -0.08235932886600494, 0.01787642389535904, -0.0014659843873232603, -0.22979211807250977, -0.0890575647354126, -0.034134700894355774, 0.02372877672314644, 0.03569325804710388, -0.052007220685482025, 0.1653698980808258, 0.00537415686994791, -0.08195531368255615, -0.025356832891702652, 0.0022064540535211563, 0.3069559335708618, 0.1720922291278839, 0.030007638037204742, -0.03395397961139679, -0.008504706434905529, 0.08493555337190628, -0.2546766400337219, 0.08373970538377762, 0.11644405871629715, 0.057394109666347504, 0.012811094522476196, 0.08186909556388855, -0.12508395314216614, -0.04987470060586929, 0.1431238204240799, -0.18981380760669708, 0.03557338938117027, 0.021438777446746826, -0.01504800096154213, 0.006308788433670998, -0.029841778799891472, 0.20561176538467407, 0.13148590922355652, -0.11604808270931244, -0.10800624638795853, 0.07160898298025131, -0.10602954030036926, 0.05131654813885689, 0.052790798246860504, -0.08980344980955124, -0.20950841903686523, -0.2866479754447937, 0.14185167849063873, 0.43217843770980835, 0.1888355165719986, -0.1524418592453003, -0.00011130422353744507, -0.1593136489391327, -0.03700245916843414, 0.11101153492927551, 0.0162899699062109, -0.09115950763225555, -0.016901232302188873, -0.08996205031871796, 0.11411534249782562, 0.13276317715644836, 0.07820985466241837, -0.12167558819055557, 0.25859227776527405, -0.038095973432064056, -0.013228033669292927, 0.008373547345399857, -0.006571047008037567, -0.1254211664199829, 0.01740855537354946, -0.11330661177635193, 0.016552608460187912, 0.07287126034498215, -0.028107352554798126, 0.02464980259537697, 0.09959202259778976, -0.17188973724842072, 0.12088276445865631, 0.03374008461833, -0.03129448741674423, 0.04684849828481674, 0.03521566838026047, -0.16286982595920563, -0.025288119912147522, 0.14698545634746552, -0.274281769990921, 0.19919519126415253, 0.11950168013572693, 0.017080014571547508, 0.2522677779197693, 0.06872548162937164, 0.05977458506822586, 0.004040606785565615, -0.0008124858140945435, -0.08699093759059906, -0.04787039756774902, 0.07287316024303436, -0.017591068521142006, 0.16072356700897217, 0.00836135447025299]
6		[-0.12860359251499176, 0.10326936841011047, 0.035338714718818665, -0.046106480062007904, -0.01818433776497841, 0.02223764732480049, -0.0016445936635136604, -0.03432629257440567, 0.2327258288860321, -0.08679720759391785, 0.2555640637874603, 0.03247326239943504, -0.1757572591304779, -0.11261028051376343, 0.030678074806928635, 0.09512583911418915, -0.1926371157169342, -0.03148704767227173, -0.09782944619655609, -0.12535221874713898, 0.011356405913829803, 0.060460157692432404, 0.06216453015804291, 0.08508070558309555, -0.1674746870994568, -0.3882087171077728, -0.04829194396734238, -0.12419469654560089, 0.01751137152314186, -0.06898820400238037, -0.06073933467268944, -0.009538485668599606, -0.217550128698349, -0.10128528624773026, -0.04515495151281357, 0.041185665875673294, -0.0022634146735072136, -0.030374638736248016, 0.14418917894363403, 0.017401928082108498, -0.0809512585401535, 0.011853564530611038, -0.01826944574713707, 0.3077869415283203, 0.19814841449260712, 0.007657187059521675, -0.001580575481057167, 0.005911529064178467, 0.11626394838094711, -0.2753024101257324, 0.10308180004358292, 0.10455791652202606, 0.028507573530077934, 0.01644665002822876, 0.08479321748018265, -0.08462370932102203, -0.08306305855512619, 0.12774021923542023, -0.13825517892837524, 0.06208522990345955, 0.010920317843556404, 0.009457342326641083, -0.025235183537006378, -0.05493690073490143, 0.17116646468639374, 0.17860229313373566, -0.0973164439201355, -0.10864438861608505, 0.042326390743255615, -0.13861724734306335, 0.0200812891125679, 0.018216107040643692, -0.12254179269075394, -0.2071378529071808, -0.2672351002693176, 0.1148969903588295, 0.4015445411205292, 0.19299516081809998, -0.17453806102275848, -0.03792125731706619, -0.15040723979473114, -0.013082632794976234, 0.15658679604530334, -0.009006008505821228, -0.02107684314250946, -0.009222647175192833, -0.08725985139608383, 0.12864826619625092, 0.17585009336471558, 0.02974621392786503, -0.10680703073740005, 0.2539360821247101, -0.02250909060239792, 0.001510361209511757, 0.01700448989868164, 0.027705106884241104, -0.10426727682352066, 0.02928159199655056, -0.153011292219162, 0.04040607437491417, 0.06698335707187653, -0.017330508679151535, 0.014301596209406853, 0.06641636788845062, -0.1715073138475418, 0.1295645385980606, 0.039576902985572815, -0.008709551766514778, 0.04978753998875618, 0.04443127661943436, -0.1834801286458969, -0.046796102076768875, 0.14980784058570862, -0.20704707503318787, 0.19678758084774017, 0.1449098140001297, 0.015864133834838867, 0.20992083847522736, 0.032958753407001495, 0.02111843228340149, -0.0036566685885190964, -0.004439295269548893, -0.09095358103513718, -0.041537024080753326, 0.053287021815776825, 0.020533336326479912, 0.11470576375722885, 0.0002920767292380333]
7		[-0.16812331974506378, 0.12051191180944443, 0.05065152794122696, -0.05408060923218727, -0.016584014520049095, 0.031595733016729355, -0.01825336366891861, 0.005176805891096592, 0.23570086061954498, -0.08641472458839417, 0.23578783869743347, 0.039686303585767746, -0.19220472872257233, -0.08932371437549591, 0.04517500475049019, 0.10742422938346863, -0.17744892835617065, -0.0310203917324543, -0.10743140429258347, -0.11753056943416595, 0.040041178464889526, 0.08997628092765808, 0.06342381983995438, 0.0735517144203186, -0.18918770551681519, -0.39518991112709045, -0.049448151141405106, -0.11277531832456589, 0.024094317108392715, -0.08868034929037094, -0.05785279721021652, -0.03285297006368637, -0.22139090299606323, -0.0878346636891365, -0.03292099013924599, 0.05349064618349075, 0.006268549244850874, -0.05360958352684975, 0.13841494917869568, 0.007176563143730164, -0.09783151745796204, 0.007693120744079351, 0.013353580608963966, 0.2919818162918091, 0.18147149682044983, 0.017443202435970306, -0.000940980389714241, -0.013724380172789097, 0.13355456292629242, -0.2677179276943207, 0.12831442058086395, 0.08065282553434372, 0.02760063298046589, 0.030991042032837868, 0.12338624894618988, -0.10019449889659882, -0.059006184339523315, 0.15658098459243774, -0.16602720320224762, 0.05594422295689583, 0.0019011087715625763, 0.03022405132651329, -0.024170052260160446, -0.060484711080789566, 0.16739530861377716, 0.17576424777507782, -0.09776771813631058, -0.12777575850486755, 0.03842225298285484, -0.12460209429264069, 0.03737463802099228, 0.05332846939563751, -0.1066102609038353, -0.20131324231624603, -0.2696063816547394, 0.11618497967720032, 0.3868618309497833, 0.20167754590511322, -0.1644667536020279, -0.01878008246421814, -0.12023986130952835, -0.037359241396188736, 0.13177262246608734, -0.004531709477305412, -0.053347572684288025, 0.0011700624600052834, -0.07984942197799683, 0.14315450191497803, 0.18346041440963745, 0.059285350143909454, -0.08897784352302551, 0.2569980323314667, -0.005010224878787994, -0.009517238475382328, 0.007859287783503532, 0.033099863678216934, -0.14531059563159943, 0.002130813430994749, -0.14382630586624146, 0.0049499813467264175, 0.076802559196949, -0.009223760105669498, 0.004139786120504141, 0.08368834853172302, -0.18701952695846558, 0.13499955832958221, 0.02903827093541622, -0.020334932953119278, 0.03518326207995415, 0.048010483384132385, -0.17099247872829437, -0.028812818229198456, 0.12245012074708939, -0.2147638499736786, 0.17650572955608368, 0.12306574732065201, 0.015352258458733559, 0.20699039101600647, 0.039970189332962036, 0.020677097141742706, 0.003419796470552683, 0.005165834911167622, -0.10390879958868027, -0.03940341994166374, 0.0842759907245636, 0.009956537745893002, 0.13788503408432007, 0.006239522248506546]
8		[-0.1575576663017273, 0.14826202392578125, 0.06132311746478081, -0.0022207582369446754, -0.0321781225502491, -0.011128706857562065, -0.013927904888987541, -0.070163294672966, 0.2359536737203598, -0.050418920814991, 0.2918694019317627, 0.0143948495388031, -0.19562998414039612, -0.05638688802719116, -0.029917923733592033, 0.10966508090496063, -0.21775253117084503, -0.02385231852531433, -0.07305177301168442, -0.091807521879673, 0.0686275064945221, 0.08280722796916962, 0.05548117309808731, 0.055235665291547775, -0.15387898683547974, -0.362263023853302, -0.07385698705911636, -0.09850859642028809, 0.06350258737802505, -0.04780454933643341, -0.004342987202107906, -0.011524652130901814, -0.20894362032413483, -0.08251828700304031, -0.015118993818759918, 0.024685854092240334, -0.00015203049406409264, -0.060736123472452164, 0.17899779975414276, 0.02341824769973755, -0.09437193721532822, 0.011485341005027294, -0.010609162971377373, 0.30408522486686707, 0.1556873917579651, 0.01429055631160736, -0.004366761073470116, -0.053701773285865784, 0.09963622689247131, -0.2509799599647522, 0.07472855597734451, 0.13503682613372803, 0.08295521140098572, 0.04145929962396622, 0.0904638022184372, -0.11675325036048889, -0.020572200417518616, 0.1505885124206543, -0.1980506032705307, 0.05701662600040436, 0.027015894651412964, -0.0016778595745563507, 0.044632576406002045, -0.02338363043963909, 0.19408883154392242, 0.1258624941110611, -0.11433810740709305, -0.09012216329574585, 0.013294024392962456, -0.09850332885980606, 0.01945386454463005, 0.058048732578754425, -0.1017313078045845, -0.24608545005321503, -0.2889796197414398, 0.12529189884662628, 0.46983909606933594, 0.17688967287540436, -0.17652009427547455, 0.0055020591244101524, -0.13437394797801971, -0.06038424372673035, 0.13813163340091705, 0.01459433976560831, -0.07425495982170105, -0.023887868970632553, -0.12173140794038773, 0.09190049022436142, 0.17360569536685944, 0.016240861266851425, -0.10365539789199829, 0.2812619209289551, -0.030416086316108704, 0.003689994104206562, -0.004307102877646685, 0.032467443495988846, -0.12803855538368225, 0.02938181534409523, -0.08163338899612427, -0.0023222314193844795, 0.062117017805576324, -0.020454920828342438, 0.013530625030398369, 0.051709599792957306, -0.1858089715242386, 0.1037764847278595, 0.038405075669288635, -0.026354268193244934, 0.015976738184690475, 0.004842827096581459, -0.17831026017665863, -0.015412778593599796, 0.14744994044303894, -0.27363038063049316, 0.22624170780181885, 0.11598320305347443, 0.0048614488914608955, 0.23874469101428986, 0.06128929555416107, 0.020222947001457214, -0.00306742824614048, -0.009213308803737164, -0.03794997185468674, -0.04888619855046272, 0.08063451200723648, 0.005349921528249979, 0.15061116218566895, -0.005593977868556976]
9		[-0.16118314862251282, 0.11358165740966797, 0.05880891531705856, -0.03313003107905388, 0.004589746240526438, 0.0036113965325057507, 0.029437270015478134, -0.02440851740539074, 0.22619156539440155, -0.07092904299497604, 0.27229195833206177, 0.012905288487672806, -0.18639414012432098, -0.07603391259908676, 0.00041979458183050156, 0.11349634826183319, -0.19707722961902618, -0.02868744358420372, -0.08132540434598923, -0.09656039625406265, 0.05364558845758438, 0.056316472589969635, 0.0777505561709404, 0.058926600962877274, -0.13257433474063873, -0.39640727639198303, -0.04544494301080704, -0.10919017344713211, 0.07303986698389053, 0.00685733649879694, -0.0016981549561023712, -0.007949206046760082, -0.2291625738143921, -0.06064014136791229, -0.05708519369363785, 0.007033605128526688, -0.002733874600380659, -0.03418197110295296, 0.17251941561698914, 0.0024568336084485054, -0.10330932587385178, -0.0071205440908670425, -0.03051290288567543, 0.2804092764854431, 0.15488044917583466, 0.030690602958202362, 0.015105564147233963, -0.025517936795949936, 0.06134090572595596, -0.25356608629226685, 0.09071516245603561, 0.10410314053297043, 0.058975327759981155, 0.01611725240945816, 0.05393397808074951, -0.11843781918287277, -0.026544781401753426, 0.1301707923412323, -0.19850465655326843, 0.06365920603275299, 0.012180855497717857, 0.01726958528161049, -0.002831024117767811, -0.04803124815225601, 0.20139001309871674, 0.14334897696971893, -0.11398084461688995, -0.11564649641513824, 0.06313459575176239, -0.1311211735010147, 0.05509349703788757, 0.05745803564786911, -0.12047240883111954, -0.2284618616104126, -0.2847687005996704, 0.12721261382102966, 0.39158034324645996, 0.1837242841720581, -0.13867469131946564, -0.022667216137051582, -0.1236690953373909, -0.005613148212432861, 0.14733541011810303, 0.016883470118045807, -0.0734502524137497, -0.042319156229496, -0.09582109749317169, 0.07762806117534637, 0.14547474682331085, 0.02972785383462906, -0.13851971924304962, 0.2517285645008087, -0.026561275124549866, -0.01232133712619543, -0.030889101326465607, 0.02225179597735405, -0.09213615953922272, 0.0452381931245327, -0.10724225640296936, 0.04633166640996933, 0.04281151294708252, -0.017160434275865555, -0.0007993457838892937, 0.07444213330745697, -0.17656011879444122, 0.11051316559314728, 0.0019288586918264627, -0.012462081387639046, 0.041928261518478394, 0.03824346512556076, -0.17769508063793182, -0.0471205972135067, 0.13008390367031097, -0.21821992099285126, 0.20712661743164062, 0.1637488305568695, 0.03936082869768143, 0.21688532829284668, 0.059771861881017685, 0.029175100848078728, 0.005474770441651344, 0.016722099855542183, -0.1285640448331833, -0.020948516204953194, 0.08511601388454437, -0.029400775209069252, 0.12645365297794342, 0.01393192820250988]
