	name	encoding
0		[-0.1818682849407196, 0.12476266920566559, 0.08221717923879623, -0.048541609197854996, 0.013150864280760288, -0.020421985536813736, -0.009172650054097176, -0.05295922979712486, 0.1983373761177063, -0.07140800356864929, 0.28262799978256226, 0.007522811181843281, -0.15251192450523376, -0.07127928733825684, 0.016031254082918167, 0.08650560677051544, -0.19112122058868408, -0.02489611506462097, -0.054759226739406586, -0.08962436765432358, 0.0811171904206276, 0.03225797042250633, 0.05313776433467865, 0.06592269241809845, -0.16575850546360016, -0.3710687458515167, -0.1003466472029686, -0.11162751913070679, 0.022486785426735878, -0.02937779761850834, 0.03989732638001442, 0.0010057464241981506, -0.23232802748680115, -0.04584518074989319, -0.0613936185836792, 0.010207531973719597, -0.0009148376993834972, -0.010110726580023766, 0.15486180782318115, -0.021547479555010796, -0.09574345499277115, 0.009035885334014893, -0.03711222484707832, 0.26541194319725037, 0.16163510084152222, 0.018483079969882965, 0.026590552181005478, -0.01713716611266136, 0.0856202244758606, -0.22116005420684814, 0.10390232503414154, 0.0944947898387909, 0.051950108259916306, 0.03579062223434448, 0.10387347638607025, -0.11402773857116699, -0.034603942185640335, 0.12137333303689957, -0.1413920372724533, 0.06938263028860092, -0.0187842957675457, -0.007896410301327705, 0.009649056941270828, -0.048042334616184235, 0.1750238686800003, 0.1639566272497177, -0.0910232737660408, -0.15733647346496582, 0.09453193843364716, -0.09633748978376389, 0.0042796009220182896, 0.08122274279594421, -0.12405407428741455, -0.20027442276477814, -0.2959057092666626, 0.09419900923967361, 0.39177000522613525, 0.13388948142528534, -0.19085842370986938, 0.00856884103268385, -0.13743729889392853, -0.019244126975536346, 0.13654303550720215, 0.012931525707244873, -0.03376065939664841, -0.018878694623708725, -0.08920354396104813, 0.07372083514928818, 0.18210487067699432, 0.027522392570972443, -0.14911212027072906, 0.238361194729805, -0.04566008597612381, 0.0192696712911129, 0.002201263327151537, 0.007687356323003769, -0.07557566463947296, 0.03915157541632652, -0.10516957193613052, 0.03857436403632164, 0.03260643035173416, -0.001558215357363224, -0.05486531928181648, 0.07928132265806198, -0.1802111715078354, 0.1574249416589737, 0.035260967910289764, 0.022581297904253006, -0.024693667888641357, 0.061273906379938126, -0.18759985268115997, 0.016941474750638008, 0.13075032830238342, -0.2689932882785797, 0.24586652219295502, 0.13252241909503937, -0.00466147530823946, 0.19886460900306702, 0.04778086394071579, 0.013680679723620415, 0.004887856543064117, 0.0026201466098427773, -0.13195602595806122, -0.03688422963023186, 0.0832342654466629, -0.005659129470586777, 0.09484432637691498, 0.02690836414694786]
1		[-0.1514851152896881, 0.1516011506319046, 0.062119197100400925, -0.02267465740442276, 0.007121686358004808, -0.015001325868070126, -0.0057259416207671165, -0.03284961357712746, 0.20231758058071136, -0.032938141375780106, 0.26778361201286316, 0.0016467836685478687, -0.1900644153356552, -0.0742843970656395, 0.0048645129427313805, 0.11484178900718689, -0.1907380372285843, 0.026242747902870178, -0.09084366261959076, -0.08366821706295013, 0.10550127923488617, 0.09739731252193451, 0.07024475932121277, 0.07402461767196655, -0.1693321317434311, -0.3342550992965698, -0.03796927630901337, -0.12293673306703568, -0.0191032811999321, -0.035369835793972015, -0.017010685056447983, 0.03236156702041626, -0.21468330919742584, -0.08159101009368896, -0.018033619970083237, 0.017413096502423286, 0.009949865750968456, -0.002178172580897808, 0.12596994638442993, -0.000699944794178009, -0.07692354917526245, 0.0049713486805558205, -0.011528100818395615, 0.2681981027126312, 0.1587917059659958, -0.01022792886942625, -0.0031885895878076553, -0.03776353597640991, 0.1008484736084938, -0.24316342175006866, 0.07358915358781815, 0.08537597954273224, 0.045284368097782135, 0.058725032955408096, 0.10479775816202164, -0.1125965341925621, -0.007676935754716396, 0.11297628283500671, -0.13537435233592987, 0.07699353992938995, 0.03550020605325699, -0.03633293882012367, -0.004018048755824566, -0.05456460267305374, 0.1630154252052307, 0.1167202815413475, -0.09539966285228729, -0.12507933378219604, 0.03351464495062828, -0.07165972143411636, -0.007778847124427557, 0.06601718068122864, -0.11736287921667099, -0.2025528848171234, -0.3083729147911072, 0.08063069730997086, 0.37052595615386963, 0.17050279676914215, -0.23348627984523773, -0.013902056030929089, -0.15186917781829834, 0.009738464839756489, 0.15559738874435425, -0.01761096529662609, -0.02471812814474106, -0.006828732788562775, -0.11189758777618408, 0.08232976496219635, 0.17928263545036316, 0.011563536711037159, -0.12698929011821747, 0.29031339287757874, -0.020180735737085342, 0.020171860232949257, 0.013616425916552544, -0.011727876961231232, -0.08577242493629456, 0.004911614581942558, -0.13724450767040253, 0.03430774807929993, 0.038527898490428925, -0.05340126156806946, -0.03979874774813652, 0.06405124068260193, -0.18423016369342804, 0.12302819639444351, 0.04474838078022003, 0.02794421650469303, 0.003510003909468651, 0.046088267117738724, -0.22364665567874908, 0.014723632484674454, 0.14569704234600067, -0.22282737493515015, 0.24427329003810883, 0.11045709997415543, 0.042234454303979874, 0.18413694202899933, 0.05546445772051811, 0.026841092854738235, -0.029005857184529305, -0.0008957348763942719, -0.09111406654119492, -0.04681645333766937, 0.11964388191699982, 0.0049892314709723, 0.10638298094272614, 0.01144562941044569]
2		[-0.12778984010219574, 0.06746487319469452, 0.05450788885354996, -0.08633358031511307, 0.026304423809051514, 0.05007392168045044, 0.0225538183003664, -0.05965817719697952, 0.20988409221172333, -0.07635020464658737, 0.2545023262500763, 0.015056246891617775, -0.18229305744171143, -0.1087394580245018, -0.02219298854470253, 0.12316587567329407, -0.22839410603046417, -0.011271489784121513, -0.09764133393764496, -0.1072053611278534, 0.05371290072798729, 0.06670466810464859, 0.06567814946174622, 0.053525540977716446, -0.23171615600585938, -0.3621707260608673, -0.07210152596235275, -0.11098579317331314, 0.03612294793128967, 0.0057950690388679504, -0.005933098495006561, 0.021322688087821007, -0.24394112825393677, -0.02383849024772644, -0.045943792909383774, 0.02894122153520584, -0.013223046436905861, -0.04236289858818054, 0.14131571352481842, 0.030454330146312714, -0.07897800207138062, 0.037377264350652695, -0.021013369783759117, 0.2566506266593933, 0.16908615827560425, 0.010612381622195244, -0.0018013548105955124, -0.04358534514904022, 0.1207188218832016, -0.27917179465293884, 0.11251150816679001, 0.08742697536945343, 0.03445671498775482, 0.04658827558159828, 0.07847157120704651, -0.10760898888111115, -0.012954159639775753, 0.13320530951023102, -0.19527031481266022, 0.0601508691906929, -0.04674497991800308, 0.006862977519631386, -0.03376317769289017, -0.04384049400687218, 0.13898131251335144, 0.18097949028015137, -0.11648793518543243, -0.137608140707016, 0.10782836377620697, -0.11293020844459534, 0.043209511786699295, 0.04397662729024887, -0.11205760389566422, -0.19903193414211273, -0.32460397481918335, 0.08752156794071198, 0.3820352256298065, 0.17762139439582825, -0.2028038650751114, -0.017505282536149025, -0.13858942687511444, 0.008971195667982101, 0.16583797335624695, 0.0053203171119093895, -0.057492539286613464, -0.022519368678331375, -0.0746992975473404, 0.09127175807952881, 0.15652671456336975, 0.014396414160728455, -0.13466447591781616, 0.3098682165145874, -0.0007032379508018494, 0.01034870557487011, 0.006936592981219292, 0.02398764342069626, -0.10360932350158691, 0.021947776898741722, -0.1194261834025383, 0.03388436138629913, 0.09220966696739197, 0.008187338709831238, 0.0001434003934264183, 0.10336277633905411, -0.17998278141021729, 0.18940289318561554, 0.0400250107049942, -0.007355093024671078, 0.07063168287277222, 0.01775270886719227, -0.19247408211231232, -0.022264553233981133, 0.14218898117542267, -0.25844839215278625, 0.19857636094093323, 0.1453302949666977, 0.016685258597135544, 0.1919151097536087, 0.06744721531867981, 0.012687145732343197, -0.023615004494786263, 0.008685722947120667, -0.147480770945549, -0.027893172577023506, 0.10000618547201157, -0.03913027420639992, 0.08549726754426956, 0.017201125621795654]
3		[-0.12484493106603622, 0.12245193868875504, 0.058651987463235855, -0.05384185537695885, 0.018331285566091537, 0.02033919095993042, -0.01602216064929962, -0.03785950690507889, 0.23433548212051392, -0.08905050158500671, 0.2829854488372803, 0.027197662740945816, -0.1815974861383438, -0.06170614808797836, -0.0269477441906929, 0.1337113082408905, -0.24071726202964783, 0.010708265006542206, -0.11288921535015106, -0.0963963121175766, 0.04562104493379593, 0.08767403662204742, 0.06867242604494095, 0.053381796926259995, -0.15504136681556702, -0.3533279299736023, -0.07202932983636856, -0.12178822606801987, 0.025920433923602104, -0.053874239325523376, -0.0024045826867222786, -0.01914604753255844, -0.22251899540424347, -0.06665343791246414, -0.031595177948474884, -0.016187477856874466, -0.011387038975954056, -0.045417334884405136, 0.13619235157966614, 0.026858653873205185, -0.05890290066599846, -0.0073493532836437225, -0.018220441415905952, 0.26695799827575684, 0.14828138053417206, 0.027466153725981712, -0.005740787833929062, -0.05209428817033768, 0.09010951966047287, -0.26676908135414124, 0.09077374637126923, 0.07368398457765579, 0.041304122656583786, 0.05985420197248459, 0.08898953348398209, -0.1252598613500595, -0.015016915276646614, 0.13946346938610077, -0.16979315876960754, 0.08055134862661362, -0.012167324312031269, -0.008641164749860764, -0.0203385129570961, -0.015501930378377438, 0.19456163048744202, 0.15712113678455353, -0.12511876225471497, -0.12226112186908722, 0.05764171853661537, -0.07589001208543777, 0.024635693058371544, 0.03414411097764969, -0.10582438111305237, -0.22023147344589233, -0.3089073598384857, 0.08723358064889908, 0.4114300012588501, 0.16506606340408325, -0.18229995667934418, -0.011296043172478676, -0.1516171544790268, -0.01814795657992363, 0.12928716838359833, 0.01899692974984646, -0.06684452295303345, -0.01978417858481407, -0.0676373690366745, 0.10757119953632355, 0.14445871114730835, 0.01229657419025898, -0.14663107693195343, 0.26882681250572205, -0.05833283066749573, 0.0018748613074421883, -0.008867897093296051, 0.011906675063073635, -0.10470665991306305, 0.013621421530842781, -0.11174978315830231, 0.01580400951206684, 0.07696475088596344, -0.0005944520235061646, -0.02538025751709938, 0.07176310569047928, -0.16820207238197327, 0.12715817987918854, 0.04227186739444733, -0.027475949376821518, 0.04403389245271683, 0.034065909683704376, -0.21225401759147644, -0.015514586120843887, 0.1549144983291626, -0.2542822062969208, 0.24249514937400818, 0.14489705860614777, 0.03413283824920654, 0.21727977693080902, 0.06553345173597336, 0.018987184390425682, -0.0019249841570854187, 0.006417520809918642, -0.10402945429086685, -0.043011296540498734, 0.0987398624420166, 0.006278451066464186, 0.12460070848464966, -0.007238083053380251]
4		[-0.1510060727596283, 0.11450996994972229, 0.06054656580090523, -0.028260519728064537, 0.031588077545166016, -0.023724650964140892, 0.023787790909409523, -0.026547696441411972, 0.21580387651920319, -0.09879559278488159, 0.29939401149749756, 0.02891063690185547, -0.14161105453968048, -0.05637926980853081, -0.0018929773941636086, 0.09535600244998932, -0.178874209523201, 0.02425997331738472, -0.11230175942182541, -0.11055503785610199, 0.07872883975505829, 0.06111113354563713, 0.07330724596977234, 0.047444429248571396, -0.12970781326293945, -0.3593943119049072, -0.09990175813436508, -0.1325383484363556, 0.05409575253725052, -0.08225004374980927, 0.01213383860886097, 0.00894866418093443, -0.2208021581172943, -0.07043926417827606, -0.045548710972070694, -0.011703483760356903, 0.031844522804021835, -0.015231137163937092, 0.13408701121807098, 0.0025391681119799614, -0.03748690336942673, 0.0020448588766157627, -0.02842632122337818, 0.268179327249527, 0.14978593587875366, 0.01999685913324356, 0.01099318079650402, -0.03330039232969284, 0.07656340301036835, -0.2042437195777893, 0.08010494709014893, 0.04229085519909859, 0.06288018822669983, 0.03767472133040428, 0.0965084657073021, -0.11759112775325775, -0.013338187709450722, 0.08300948143005371, -0.16837209463119507, 0.07499582320451736, -0.0016828207299113274, -0.009369665756821632, -0.03972262516617775, 0.007053532171994448, 0.18832391500473022, 0.12990297377109528, -0.09417220950126648, -0.12350641936063766, 0.11133622378110886, -0.08905689418315887, 0.08207337558269501, 0.045818720012903214, -0.11754703521728516, -0.20714330673217773, -0.2223816066980362, 0.12398307025432587, 0.405256986618042, 0.1656966209411621, -0.17969168722629547, 0.024586930871009827, -0.18625874817371368, -0.021305877715349197, 0.10702626407146454, -0.012805045582354069, -0.05904324725270271, -0.0030900761485099792, -0.09438669681549072, 0.11544947326183319, 0.13775292038917542, 0.01830999180674553, -0.12132980674505234, 0.2592174708843231, -0.05600708723068237, -0.015204149298369884, 0.016229107975959778, -0.023377111181616783, -0.12347868829965591, 0.008910790085792542, -0.12029927223920822, -0.0034597646445035934, 0.048865124583244324, -0.04712492972612381, -0.0458701029419899, 0.06778246909379959, -0.16991958022117615, 0.12261461466550827, 0.010000665672123432, -0.0200143251568079, 0.010312242433428764, 0.05990312248468399, -0.19877369701862335, -0.02887330763041973, 0.12640562653541565, -0.22806762158870697, 0.20943014323711395, 0.12809720635414124, 0.01718761771917343, 0.21992304921150208, 0.05046812444925308, 0.05843575298786163, 0.02244829386472702, 0.013300817459821701, -0.10763541609048843, -0.029543299227952957, 0.08556465804576874, 0.0143350251019001, 0.08765344321727753, -0.011444980278611183]
5		[-0.1270562708377838, 0.11553143709897995, 0.02320259064435959, -0.069399394094944, -0.007011940702795982, -0.035939909517765045, -0.004613339900970459, -0.04775284230709076, 0.24261163175106049, -0.07715682685375214, 0.25896766781806946, 0.022685792297124863, -0.14578095078468323, -0.0922667607665062, 0.005544808693230152, 0.11225828528404236, -0.2244599610567093, -0.023402847349643707, -0.12979836761951447, -0.14468428492546082, 0.048945147544145584, 0.08203136920928955, 0.061773184686899185, 0.07417546957731247, -0.22371932864189148, -0.3348284363746643, -0.06390628963708878, -0.1305994987487793, 0.019058946520090103, -0.07803186029195786, -0.004205312579870224, 0.013507098890841007, -0.24476318061351776, -0.10877799987792969, 0.0069109611213207245, 0.023796916007995605, -0.03903224319219589, -0.06764545291662216, 0.18851137161254883, 0.013659549877047539, -0.058544665575027466, -0.010356209240853786, 0.016777053475379944, 0.2868480384349823, 0.18628087639808655, -0.01191115565598011, -0.01351349800825119, -0.05395902693271637, 0.16621297597885132, -0.2383689284324646, 0.09825639426708221, 0.09707622230052948, 0.04970693960785866, 0.07563884556293488, 0.15958906710147858, -0.07440991699695587, 0.025961346924304962, 0.17443181574344635, -0.20899830758571625, 0.056341543793678284, -0.009266415610909462, -0.04734186455607414, -0.000922701321542263, -0.05037437006831169, 0.1917458176612854, 0.1290351152420044, -0.08456557244062424, -0.11329210549592972, 0.08340656757354736, -0.09080909937620163, 0.010924538597464561, 0.06381218135356903, -0.08796967566013336, -0.22266694903373718, -0.3244914710521698, 0.07821755111217499, 0.37663331627845764, 0.21209262311458588, -0.1882554441690445, 0.015726830810308456, -0.10452714562416077, -0.06901891529560089, 0.15622295439243317, 0.02091814950108528, -0.05746745318174362, -0.0134422043338418, -0.0689120888710022, 0.12861229479312897, 0.18230542540550232, 0.0416470542550087, -0.12694576382637024, 0.27599647641181946, -0.038813743740320206, -0.0169530026614666, 0.017592284828424454, -0.021318254992365837, -0.15784019231796265, 0.011136864311993122, -0.10867178440093994, 0.024285949766635895, 0.08876683562994003, -0.004313468001782894, -0.010290955193340778, 0.0949951708316803, -0.1522037535905838, 0.10898822546005249, 0.014974847435951233, -0.030454352498054504, -0.027041908353567123, -0.015273451805114746, -0.18517804145812988, -0.01785164326429367, 0.11868981271982193, -0.2668827772140503, 0.2271016389131546, 0.09591326117515564, -0.006187561899423599, 0.2072751671075821, 0.022622056305408478, -0.011000357568264008, -0.011837610974907875, -0.009154271334409714, -0.1072540134191513, -0.031017450615763664, 0.11280251294374466, 0.01067216694355011, 0.16104115545749664, -0.003771701827645302]
6		[-0.15654636919498444, 0.09411193430423737, 0.04049201309680939, -0.052444927394390106, -0.018925728276371956, -0.08475218713283539, -0.0030520521104335785, -0.012654008343815804, 0.21424850821495056, -0.09404975175857544, 0.23788653314113617, 0.00789796095341444, -0.18234457075595856, -0.0482027530670166, -0.027213282883167267, 0.11863435804843903, -0.17130227386951447, -0.005436181090772152, -0.14488953351974487, -0.11551226675510406, 0.028475191444158554, 0.10365132242441177, 0.07111422717571259, 0.0772172063589096, -0.18343636393547058, -0.38742539286613464, -0.06923681497573853, -0.14869198203086853, -0.0047784363850951195, -0.11259821802377701, 0.051644522696733475, 0.012414757162332535, -0.21394678950309753, -0.09596941620111465, -0.0017804726958274841, 0.03673192113637924, -0.0018366975709795952, -0.05427509546279907, 0.187643364071846, 0.026965953409671783, -0.0976480022072792, -0.030830468982458115, 0.017258580774068832, 0.3171205520629883, 0.15701887011528015, 0.0033280588686466217, 0.012660074047744274, -0.07358311861753464, 0.11764490604400635, -0.21650268137454987, 0.07632315903902054, 0.05005843564867973, 0.021789556369185448, 0.045828040689229965, 0.12847891449928284, -0.07546387612819672, 0.05168186500668526, 0.1617787778377533, -0.2823595404624939, 0.05791579931974411, 0.023981884121894836, -0.024896761402487755, -0.05107445269823074, -0.017351709306240082, 0.24637052416801453, 0.12554357945919037, -0.1258508861064911, -0.09821335226297379, 0.11941990256309509, -0.15210938453674316, 0.04967053607106209, 0.060986749827861786, -0.07824455201625824, -0.21372459828853607, -0.2834372818470001, 0.07536797225475311, 0.3830680847167969, 0.1900424063205719, -0.1607765108346939, 0.027450285851955414, -0.11479446291923523, -0.07545578479766846, 0.11662730574607849, 0.05273198336362839, -0.06377030164003372, 0.004580320790410042, -0.03283383324742317, 0.14423906803131104, 0.1585487723350525, 0.07900550961494446, -0.11399436742067337, 0.24530833959579468, -0.040345653891563416, -0.04831692576408386, 0.029651522636413574, -0.02542726881802082, -0.18969611823558807, -0.015459215268492699, -0.10918037593364716, 0.010080215521156788, 0.09062710404396057, -0.025859709829092026, -0.009416446089744568, 0.07322270423173904, -0.1553468406200409, 0.15341202914714813, -0.005177523009479046, -0.06457917392253876, 0.007447756826877594, -0.0006891172379255295, -0.1728527992963791, -0.017836522310972214, 0.15699756145477295, -0.23724275827407837, 0.24513597786426544, 0.09157515317201614, 0.02839307300746441, 0.20572859048843384, 0.03527550771832466, 0.00031603313982486725, -0.003537285141646862, 0.012492833659052849, -0.14315497875213623, -0.025914505124092102, 0.1057475209236145, -0.0512683242559433, 0.20667344331741333, -0.032810695469379425]
7		[-0.1365511566400528, 0.12152759730815887, 0.05075611174106598, -0.07292154431343079, 0.003147104987874627, 0.010956008918583393, -0.016078291460871696, -0.016692277044057846, 0.24340316653251648, -0.09593208879232407, 0.22732587158679962, 0.004404349252581596, -0.1726517379283905, -0.07121633738279343, -0.022063378244638443, 0.1227589100599289, -0.20018616318702698, -0.008051108568906784, -0.12236059457063675, -0.12442093342542648, 0.032198190689086914, 0.09220718592405319, 0.03047008253633976, 0.06217589229345322, -0.15873664617538452, -0.35820430517196655, -0.02046879567205906, -0.12728622555732727, -0.013138776645064354, -0.07564379274845123, 0.029977863654494286, -0.006906483322381973, -0.20440727472305298, -0.05870102718472481, -0.03982727974653244, 0.04518623277544975, -0.02372368983924389, -0.052018918097019196, 0.15381552278995514, 0.012060511857271194, -0.07601989805698395, -0.026894204318523407, -0.006604675203561783, 0.29204314947128296, 0.16343094408512115, 0.008328794501721859, -0.008726172149181366, -0.05977354198694229, 0.16454610228538513, -0.2690352201461792, 0.05908516049385071, 0.07719753682613373, 0.026189522817730904, 0.03539636731147766, 0.11428114026784897, -0.08957327902317047, 0.010460896417498589, 0.1714133769273758, -0.22100497782230377, 0.07175535708665848, -0.01892976462841034, -0.022181959822773933, -0.05110495537519455, -0.03586702421307564, 0.21752206981182098, 0.14070069789886475, -0.12403395026922226, -0.10041654109954834, 0.05488850548863411, -0.1098661720752716, 0.030497346073389053, 0.07661530375480652, -0.09051685780286789, -0.24459587037563324, -0.28951331973075867, 0.09990306943655014, 0.4102659225463867, 0.1886836141347885, -0.16926456987857819, -0.00286821648478508, -0.09699143469333649, -0.03668871894478798, 0.17272338271141052, 0.05193494260311127, -0.06285691261291504, -0.014308176934719086, -0.052963804453611374, 0.12024382501840591, 0.17214256525039673, 0.03527979552745819, -0.13979607820510864, 0.2498856484889984, -0.03899950906634331, -0.014062135480344296, -0.03646205738186836, -0.025263195857405663, -0.1206330731511116, 0.022406499832868576, -0.12279890477657318, -0.010832065716385841, 0.12226765602827072, 0.013777634128928185, -0.008011244237422943, 0.051055461168289185, -0.1676958203315735, 0.12818367779254913, 0.02649596706032753, -0.02854270488023758, 0.04312761500477791, -0.020966028794646263, -0.18587586283683777, -0.00045078841503709555, 0.18253649771213531, -0.23567216098308563, 0.20369306206703186, 0.11503583192825317, 0.03628069907426834, 0.216335728764534, 0.06304652243852615, -0.008647866547107697, 0.015906790271401405, -0.006053498014807701, -0.11789875477552414, -0.013871317729353905, 0.11944197118282318, 0.0010512042790651321, 0.17137689888477325, -0.03960087522864342]
8		[-0.1469072699546814, 0.18309952318668365, 0.020936237648129463, -0.05075382813811302, -0.05396861582994461, -0.040896691381931305, -0.021004123613238335, -0.04519517719745636, 0.22809714078903198, -0.05329050123691559, 0.24579042196273804, 0.0195804201066494, -0.15934988856315613, -0.07687924802303314, -0.00595515314489603, 0.12664878368377686, -0.18588440120220184, -0.04914730414748192, -0.12134483456611633, -0.09547263383865356, 0.056510355323553085, 0.1308707594871521, 0.03867339342832565, 0.10293587297201157, -0.20895929634571075, -0.36586424708366394, -0.08215438574552536, -0.13183292746543884, 0.0025157220661640167, -0.06027655676007271, 0.04482308402657509, 0.03977452963590622, -0.18547119200229645, -0.10101110488176346, 0.010294454172253609, 0.02531684935092926, 0.012264622375369072, -0.04188016802072525, 0.19243817031383514, 0.030087951570749283, -0.11773782223463058, 0.03526753559708595, -0.006776351481676102, 0.3681059181690216, 0.16035762429237366, -0.04299027472734451, 0.06943325698375702, -0.04132727533578873, 0.11251268535852432, -0.2019917070865631, 0.054169680923223495, 0.09468984603881836, 0.03076380491256714, 0.018493760377168655, 0.12464798986911774, -0.07270622253417969, 0.01238631084561348, 0.19594483077526093, -0.238505020737648, 0.08651106059551239, 0.03144483268260956, -0.05530113726854324, -0.01884615421295166, -0.02790345624089241, 0.19220253825187683, 0.08382830023765564, -0.10893756151199341, -0.14946098625659943, 0.07075906544923782, -0.12189167737960815, -0.01024634949862957, 0.10463809221982956, -0.1144881397485733, -0.2174881398677826, -0.35209518671035767, 0.09727875143289566, 0.4475526511669159, 0.1706000119447708, -0.2057630568742752, 0.030240677297115326, -0.08681689947843552, -0.04978640750050545, 0.14948153495788574, 0.04177551716566086, -0.05086135119199753, -0.029537448659539223, -0.11819813400506973, 0.1273428201675415, 0.22257068753242493, 0.06438572704792023, -0.1265314519405365, 0.281724750995636, 0.006480432115495205, -0.04633023217320442, 0.013438406400382519, 0.03397762402892113, -0.12438654154539108, -0.009986793622374535, -0.08240601420402527, 0.04486427456140518, 0.09560167044401169, -0.029586073011159897, -0.043462373316287994, 0.08837778121232986, -0.17574210464954376, 0.1407168060541153, 0.009549979120492935, -0.02157728746533394, -0.05346033722162247, 0.004904648754745722, -0.1984712779521942, 0.007859704084694386, 0.18986783921718597, -0.2500559687614441, 0.18580497801303864, 0.11887999624013901, 0.011131376028060913, 0.1863853633403778, 0.04826505109667778, -0.02924402616918087, -0.02156161516904831, -0.019035540521144867, -0.11934956163167953, -0.06279326230287552, 0.11605604737997055, -0.03436069190502167, 0.1785762906074524, -0.0025440645404160023]
9		[-0.1274867057800293, 0.12087588757276535, 0.036657679826021194, -0.06918838620185852, -0.0013026208616793156, -0.009897096082568169, 0.002581454813480377, 0.013544500805437565, 0.21859024465084076, -0.09363054484128952, 0.176786407828331, 0.004947804845869541, -0.1854361891746521, -0.0707520917057991, 0.010311485268175602, 0.10675544291734695, -0.16246217489242554, -0.062252797186374664, -0.14334644377231598, -0.1562035232782364, 0.026680191978812218, 0.132472962141037, 0.02563370391726494, 0.0730704814195633, -0.19623345136642456, -0.3369646370410919, -0.02460312284529209, -0.138132244348526, -0.04287394508719444, -0.04765889421105385, 0.024029560387134552, 0.05981116369366646, -0.16430187225341797, -0.07070731371641159, 0.0030703265219926834, 0.016330789774656296, -0.022628650069236755, -0.02315748855471611, 0.1971396505832672, 0.037847720086574554, -0.08978341519832611, 0.012380960397422314, 0.03395282104611397, 0.34957531094551086, 0.19287808239459991, -0.025108974426984787, -0.019408905878663063, -0.009481554850935936, 0.16656005382537842, -0.2701649069786072, 0.07586440443992615, 0.11297614127397537, 0.023304257541894913, 0.06063967943191528, 0.16731199622154236, -0.0832681804895401, 0.004487067461013794, 0.1278209388256073, -0.19622784852981567, 0.06887231767177582, -0.01041128858923912, -0.01781482622027397, -0.05556835979223251, -0.07030194997787476, 0.1318577378988266, 0.12505346536636353, -0.07341673970222473, -0.1478070467710495, 0.07066885381937027, -0.1568772792816162, 0.0012776064686477184, 0.11922764033079147, -0.11236412823200226, -0.18131747841835022, -0.25672197341918945, 0.05605824291706085, 0.3677012622356415, 0.2194128930568695, -0.16077777743339539, -0.004588576965034008, -0.07530274242162704, -0.03903462365269661, 0.17182929813861847, -0.026659850031137466, -0.07039599120616913, -0.02873343601822853, -0.05115903541445732, 0.10336742550134659, 0.18585453927516937, 0.07355227321386337, -0.16114486753940582, 0.25160688161849976, 0.017378197982907295, -0.04316608980298042, 0.03555045276880264, -0.035941410809755325, -0.10421514511108398, -0.0172792486846447, -0.16940906643867493, 0.002023148350417614, 0.07510963082313538, -0.0524558499455452, -0.017455052584409714, 0.060403190553188324, -0.17153090238571167, 0.14135858416557312, 0.02360537089407444, 0.011933889240026474, -0.013559423387050629, 0.07162696123123169, -0.2166651338338852, 0.016983751207590103, 0.17540955543518066, -0.1968870609998703, 0.15527722239494324, 0.09864863008260727, 0.012714160606265068, 0.15757931768894196, 0.049374304711818695, -0.011446122080087662, -0.044933777302503586, -0.006293212994933128, -0.11095817387104034, -0.06486047059297562, 0.1007872223854065, 0.0368717759847641, 0.15153342485427856, -0.0020846747793257236]
